,name,start,end,duration
0,FastZarr/Open,1687341320.775436,1687341339.083823,18.30838704109192
1,FastZarr/Load,1687341339.0838704,1687341370.975751,31.89188051223755
2,NetCDF/Open,1687341370.9757957,1687341416.4878118,45.51201605796814
3,NetCDF/Load,1687341416.4878485,1687341576.3976436,159.90979504585266
4,HDF/Open,1687341576.3976824,1687341627.8352358,51.43755340576172
5,HDF/Load,1687341627.8352752,1687341779.4183254,151.58305025100708
6,Zarr/Open,1687341779.4184253,1687341916.3314726,136.91304731369019
7,Zarr/Load,1687341916.331518,1687341935.4958785,19.164360523223877
