,name,start,end,duration
0,NetCDF/Open,1687339580.7632499,1687339652.5856607,71.82241082191467
1,NetCDF/Load,1687339652.5857463,1687339839.390787,186.80504059791565
2,HDF/Open,1687339839.3908622,1687339891.9028814,52.51201915740967
3,HDF/Load,1687339891.902914,1687340043.4146714,151.51175737380981
4,Zarr/Open,1687340043.414748,1687340182.5803633,139.1656153202057
5,Zarr/Load,1687340182.5804403,1687340214.4337282,31.853287935256958
6,FastZarr/Open,1687340214.4338033,1687340232.093257,17.659453630447388
7,FastZarr/Load,1687340232.093295,1687340246.7154598,14.622164726257324
