,name,start,end,duration
0,NetCDF/Open,1687339173.411363,1687339177.670563,4.259200096130371
1,NetCDF/Load,1687339177.6706114,1687339186.599275,8.928663730621338
2,HDF/Open,1687339186.5993192,1687339190.8636525,4.264333248138428
3,HDF/Load,1687339190.8636863,1687339201.4352567,10.57157039642334
4,Zarr/Open,1687339201.4352963,1687339384.5260766,183.0907802581787
5,Zarr/Load,1687339384.526149,1687339420.6621478,36.13599872589111
6,FastZarr/Open,1687339420.6622312,1687339452.0429232,31.38069200515747
7,FastZarr/Load,1687339452.0429635,1687339477.2945676,25.251604080200195
